2024-04-14 20:49:02,625 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,645 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,646 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,666 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,666 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,687 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,687 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,707 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,708 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,733 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,733 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,758 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,758 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,783 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,783 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,808 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,808 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,829 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,830 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,850 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,850 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,871 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,871 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,891 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,892 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,912 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,913 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,933 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,934 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,954 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,954 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,975 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,975 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:02,995 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:02,996 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,016 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,017 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,037 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,037 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,058 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,058 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,078 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,079 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,099 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,100 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,120 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,120 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,141 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,141 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,161 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,162 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,182 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,183 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,203 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,204 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,224 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,224 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,245 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,245 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,265 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,266 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,286 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,287 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,307 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,307 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,328 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,328 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,349 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,349 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,369 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,370 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,390 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,391 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,411 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,412 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,432 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,432 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,453 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,453 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,473 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,474 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,494 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,495 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,515 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,516 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,536 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,536 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,556 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,557 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,577 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,578 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,598 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,599 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,619 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,619 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,640 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,640 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,660 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,661 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,682 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,683 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,703 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,704 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,724 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,724 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,745 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,745 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,765 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,766 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,786 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,787 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,807 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,808 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,828 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,828 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,849 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,849 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,869 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,870 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,895 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,896 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,917 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,918 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,938 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,939 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,960 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,960 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:03,981 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:03,982 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,002 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,003 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,024 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,024 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,045 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,046 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,067 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,067 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,088 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,089 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,109 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,110 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,131 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,132 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,153 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,154 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,174 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,175 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,195 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,196 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,216 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,217 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,238 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,239 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,263 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
